service_group,direction,from_code,from_name,to_code,to_name,scheduled_sec,factor,estimated_sec,station_travel_sec
Sat-Sun,forward,NUS,National University,STT,Suoi Tien Terminal,150.0,2.0972,314.58,360.28
Sat-Sun,reverse,STT,Suoi Tien Terminal,NUS,National University,150.0,1.8643,279.65,302.94
Sat-Sun,reverse,NUS,National University,HTP,Hi-Tech Park,110.0,1.647,181.17,302.94
Sat-Sun,reverse,HTP,Hi-Tech Park,TDC,Thu Duc,150.0,0.9466,141.99,302.94
Sat-Sun,reverse,TDC,Thu Duc,BTI,Binh Thai,110.0,1.3673,150.4,302.94
Sat-Sun,reverse,BTI,Binh Thai,PCL,Phuoc Long,100.0,1.4778,147.78,302.94
Sat-Sun,reverse,PCL,Phuoc Long,RCC,Rach Chiec,100.0,0.9,90.0,302.94
Sat-Sun,reverse,RCC,Rach Chiec,ANP,An Phu,110.0,1.2753,140.28,302.94
Sat-Sun,reverse,ANP,An Phu,TDN,Thao Dien,80.0,1.1747,93.97,302.94
Sat-Sun,reverse,TDN,Thao Dien,TCN,Tan Cang,90.0,1.1814,106.33,302.94
Sat-Sun,reverse,TCN,Tan Cang,VTP,Van Thanh Park,80.0,1.409,112.72,302.94
Sat-Sun,reverse,VTP,Van Thanh Park,BSN,Ba Son,130.0,1.4961,194.49,302.94
Sat-Sun,reverse,BSN,Ba Son,OPH,Opera House,80.0,1.6101,128.8,302.94
Sat-Sun,reverse,OPH,Opera House,BTN,Ben Thanh,90.0,1.518,136.62,302.94
