id,start__station,end__station,start__time,end__time
77720214405386240,HTP,TCN,2025-08-03T03:54:15.443Z,2025-08-03T04:11:53.873Z
78236140276027392,BTN,TDC,2025-08-04T13:53:15.375Z,2025-08-04T14:22:11.096Z
80376976287731712,BTN,TDC,2025-08-10T12:08:38.535Z,2025-08-10T12:08:54.724Z
82028128217600000,PCL,BSN,2025-08-15T01:15:03.993Z,2025-08-15T01:29:57.586Z
78171661957861376,HTP,ANP,2025-08-04T09:50:02.662Z,2025-08-04T10:05:57.564Z
81866302238494720,ANP,TDC,2025-08-14T14:27:13.603Z,2025-08-14T14:47:00.103Z
77853491107729408,BSN,BTI,2025-08-03T12:44:32.342Z,2025-08-03T13:01:36.138Z
79500561921085440,OPH,PCL,2025-08-08T01:39:51.089Z,2025-08-08T02:06:31.604Z
78171413038501888,BSN,BTN,2025-08-04T09:55:28.790Z,2025-08-04T10:04:43.102Z
77838330472960000,VTP,ANP,2025-08-03T11:51:02.410Z,2025-08-03T12:01:17.757Z
80760374684553216,BTN,BTI,2025-08-11T13:04:19.785Z,2025-08-11T13:32:22.049Z
79950782299901952,BTN,TDN,2025-08-09T07:33:43.047Z,2025-08-09T07:55:30.976Z
77473841349136384,TCN,TDC,2025-08-02T11:29:29.634Z,2025-08-02T11:52:53.404Z
79992689164029952,OPH,STT,2025-08-09T10:09:49.364Z,2025-08-09T10:41:51.909Z
78551298948993024,OPH,TDN,2025-08-05T10:55:55.022Z,2025-08-05T11:14:21.240Z
78756578387300352,BTI,TDN,2025-08-06T00:38:02.651Z,2025-08-06T00:49:32.600Z
80053082297208832,BSN,TDN,2025-08-09T14:23:47.935Z,2025-08-09T14:41:58.405Z
80214458781143040,TDC,OPH,2025-08-10T00:52:41.867Z,2025-08-10T01:23:13.648Z
82210699958292480,BTN,TDC,2025-08-15T13:01:01.594Z,2025-08-15T13:35:35.323Z
80351864033382400,HTP,BTN,2025-08-10T09:51:07.206Z,2025-08-10T10:29:08.726Z
82234553451679744,OPH,BTI,2025-08-15T15:10:09.876Z,2025-08-15T15:10:13.519Z
76953089344540672,HTP,BTN,2025-08-01T00:57:58.129Z,2025-08-01T01:23:16.250Z
82189387521069056,BTN,BTI,2025-08-15T11:44:33.127Z,2025-08-15T12:10:48.107Z
79294881624756224,BTN,STT,2025-08-07T11:47:54.671Z,2025-08-07T12:29:02.314Z
80056660046909440,ANP,HTP,2025-08-09T14:33:50.986Z,2025-08-09T14:56:05.636Z
78052633549475840,BTN,ANP,2025-08-04T01:51:28.881Z,2025-08-04T02:12:43.386Z
81097430942093312,BTN,TDC,2025-08-12T11:24:12.383Z,2025-08-12T11:51:40.932Z
76967238891999232,ANP,BSN,2025-08-01T02:09:16.554Z,2025-08-01T02:20:01.730Z
79666156092264448,BTN,HTP,2025-08-08T12:36:32.753Z,2025-08-08T13:04:28.045Z
81104973617696768,BSN,TDC,2025-08-12T11:54:15.014Z,2025-08-12T12:21:37.556Z
81830187527835648,BSN,ANP,2025-08-14T12:04:35.478Z,2025-08-14T12:23:28.678Z
78236206357286912,BTN,TDC,2025-08-04T13:58:06.602Z,2025-08-04T14:22:24.124Z
79484137429274624,NUS,BTN,2025-08-08T00:26:34.155Z,2025-08-08T01:00:50.979Z
80943529941012480,BTN,TDN,2025-08-12T01:18:39.201Z,2025-08-12T01:40:09.219Z
77133846914535424,BTN,STT,2025-08-01T12:43:38.307Z,2025-08-01T13:21:50.924Z
